MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Faceoff,Faceoff,Enchanter,46,Human,main,former,0,3,1,,
Fatszo,Madskills,Bard,60,Human,alternate,member,0,0,0,2025-11-08 02:43:57,2026-01-08 08:55:28
Fatszo,Anull,Warrior,13,Troll,alternate,member,0,0,0,2025-11-08 02:43:57,2026-01-08 08:55:28
Fatszo,Fatszo,Beastlord,47,Ogre,main,member,0,0,0,2025-11-08 02:43:57,2026-01-08 08:55:28
Fatszo,Zeroskills,Rogue,49,Wood Elf,alternate,member,0,0,0,2025-11-08 02:43:57,2026-01-08 08:55:28
Fauraewyn,Fauraewyn,Bard,59,Wood Elf,main,applicant,21,32,11,2026-05-13 22:22:59,
Feldin,Almen,Ranger,60,Wood Elf,main,member,435,1612,1274,2025-02-22 20:27:38,2025-03-24 21:44:49
Feldin,Feldin,Enchanter,60,Erudite,main,member,435,1612,1274,2025-02-22 20:27:38,2025-03-24 21:44:49
Fettywap,Fettywap,Bard,60,Human,main,member,78,226,165,2025-06-11 11:40:36,2025-10-02 03:32:45
Fettywap,Pocketrocket,Wizard,52,Gnome,alternate,member,78,226,165,2025-06-11 11:40:36,2025-10-02 03:32:45
Fettywap,Teabag,Enchanter,51,Gnome,alternate,member,78,226,165,2025-06-11 11:40:36,2025-10-02 03:32:45
Fettywap,Uzii,Rogue,60,Gnome,alternate,member,78,226,165,2025-06-11 11:40:36,2025-10-02 03:32:45
Fettywap,Bugs,Cleric,51,Gnome,alternate,member,78,226,165,2025-06-11 11:40:36,2025-10-02 03:32:45
Fettywap,Largefarva,Shaman,60,Troll,alternate,member,78,226,165,2025-06-11 11:40:36,2025-10-02 03:32:45
Feyah,Tragedy,Necromancer,16,Dark Elf,alternate,member,196,397,264,2026-02-11 03:27:51,2026-03-11 23:53:33
Feyah,Siofre,Beastlord,16,Barbarian,alternate,member,196,397,264,2026-02-11 03:27:51,2026-03-11 23:53:33
Feyah,Yulegia,Cleric,21,Dark Elf,alternate,member,196,397,264,2026-02-11 03:27:51,2026-03-11 23:53:33
Feyah,Feyah,Druid,60,Wood Elf,main,member,196,397,264,2026-02-11 03:27:51,2026-03-11 23:53:33
Feyah,Carale,Bard,29,Wood Elf,alternate,member,196,397,264,2026-02-11 03:27:51,2026-03-11 23:53:33
Fharskei,Fharskei,Wizard,60,Dark Elf,main,member,26,275,249,2026-01-26 15:22:31,2026-02-25 03:58:39
Firstname,Arrowheart,Ranger,60,Wood Elf,main,member,116,396,289,2026-01-11 20:32:29,2026-02-01 04:01:23
Firstname,Firstname,Magician,60,Human,main,member,116,396,289,2026-01-11 20:32:29,2026-02-01 04:01:23
